State,Killed_2014,Killed_2015,Killed_2016,Killed_2017,Injured_2014,Injured_2015,Injured_2016,Injured_2017,Fine_Acc_2014,Fine_Killed_2014,Rain_Acc_2014,Fog_Acc_2014,Dry_Road_Acc,Wet_Road_Acc,Pothole_Acc,Avg_Killed,Avg_Injured,Risk_Score,Risk_Level
Karnataka,10452,10856,11133,10609,56831,56971,54556,52961,27346.0,6533.0,2726.0,1236.0,37067.0,6646.0,248.0,10762.5,55329.75,76854.75,High
Kerala,4049,4196,4287,4131,41096,43735,44108,42671,28138.0,3257.0,3489.0,477.0,26550.0,9732.0,494.0,4165.75,42902.5,51234.0,High
Madhya Pradesh,8569,9314,9646,10177,55335,55815,57873,57532,39335.0,6262.0,2655.0,2228.0,45933.0,7539.0,2962.0,9426.5,56638.75,75491.75,High
Maharashtra,12803,13212,12935,12264,40455,39606,35884,32128,55186.0,11099.0,1465.0,290.0,53587.0,8040.0,565.0,12803.5,37018.25,62625.25,High
Manipur,168,139,81,136,1295,1201,955,1027,228.0,72.0,90.0,38.0,395.0,348.0,1.0,131.0,1119.5,1381.5,Low
Meghalaya,141,183,150,182,311,319,354,354,43.0,7.0,27.0,44.0,542.0,0.0,0.0,164.0,334.5,662.5,Low
Mizoram,103,72,70,60,234,103,68,55,88.0,76.0,30.0,14.0,106.0,26.0,0.0,76.25,115.0,267.5,Low
Nagaland,81,30,46,41,230,74,120,375,251.0,63.0,0.0,0.0,305.0,0.0,0.0,49.5,199.75,298.75,Low
Odisha,3931,4303,4463,4790,11087,11825,11312,11198,,,,,,,,4371.75,11355.5,20099.0,Medium
Punjab,4621,4893,5077,4463,4127,4414,4351,4218,3631.0,2707.0,281.0,891.0,5647.0,744.0,161.0,4763.5,4277.5,13804.5,Medium
Rajasthan,10289,10510,10465,10444,27453,26153,24103,22071,21567.0,8866.0,290.0,611.0,24126.0,502.0,318.0,10427.0,24945.0,45799.0,High
Sikkim,59,70,85,78,352,337,263,479,58.0,17.0,0.0,47.0,111.0,92.0,0.0,73.0,357.75,503.75,Low
Tamil Nadu,15190,15642,17218,16157,77725,79746,82163,74571,42716.0,10753.0,2909.0,1857.0,58776.0,8474.0,1665.0,16051.75,78551.25,110654.75,High
Telangana,6906,7110,7219,6596,21636,22948,24217,23990,10845.0,3622.0,913.0,287.0,18185.0,1893.0,282.0,6957.75,23197.75,37113.25,High
Tripura,188,158,173,161,1225,1028,853,718,551.0,139.0,29.0,39.0,657.0,59.0,0.0,170.0,956.0,1296.0,Low
Uttarakhand,878,913,962,942,1531,1657,1735,1631,1081.0,702.0,37.0,95.0,1117.0,293.0,0.0,923.75,1638.5,3486.0,Low
Uttar Pradesh,16287,17666,19320,20124,22337,23205,25096,27494,11484.0,5865.0,2311.0,1454.0,24076.0,6958.0,2406.0,18349.25,24533.0,61231.5,High
West Bengal,5875,6234,6544,5769,12018,11794,11859,10091,4513.0,2187.0,1152.0,1533.0,8881.0,3994.0,352.0,6105.5,11440.5,23651.5,Medium
Andaman & Nicobar Islands,23,23,17,21,283,331,323,263,,,,,,,,21.0,300.0,342.0,Low
Chandigarh,131,129,151,107,335,331,329,302,369.0,131.0,0.0,0.0,369.0,0.0,0.0,129.5,324.25,583.25,Low
Dadra & Nagar Haveli,59,42,46,43,96,97,130,60,,,,,,,,47.5,95.75,190.75,Low
Daman & Diu,15,42,38,36,49,64,102,70,38.0,14.0,1.0,0.0,38.0,1.0,0.0,32.75,71.25,136.75,Low
Delhi,1671,1622,1591,1584,8283,8258,7154,6604,,1656.0,,,,,,1617.0,7574.75,10808.75,Medium
Lakshadweep,0,0,1,0,1,3,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,1.25,1.75,Low
Puducherry,151,235,244,233,1323,1552,1786,1741,453.0,68.0,128.0,1.0,1054.0,57.0,0.0,215.75,1600.5,2032.0,Low
